time_s,ecg_uv
2.2500025806948543e-06,-203
0.007694557694888388,105
0.01538686538719608,802
0.023079173079503773,1399
0.030771480771811466,1701
0.03846378846411916,1821
0.04615609615642685,1514
0.053848403848734544,1162
0.06154071154104224,1608
0.06923301923334993,2317
0.07692532692565762,2523
0.08461763461796531,2667
0.09230994231027301,2998
0.1000022500025807,3223
0.1076945576948884,3393
0.11538686538719609,3621
0.12307917307950378,3784
0.13077148077181147,3899
0.13846378846411916,4062
0.14615609615642686,4227
0.15384840384873455,4366
0.16154071154104224,4486
0.16923301923334994,4603
0.17692532692565763,4745
0.18461763461796532,4881
0.192309942310273,4987
0.2000022500025807,5112
0.2076945576948884,5246
0.2153868653871961,5356
0.22307917307950378,5447
0.23077148077181148,5519
0.23846378846411917,5576
0.24615609615642686,5608
0.2538484038487345,5591
0.26154071154104225,5541
0.26923301923334997,5500
0.27692532692565763,5471
0.2846176346179653,5442
0.292309942310273,5454
0.30000225000258074,5488
0.3076945576948884,5509
0.31538686538719607,5536
0.3230791730795038,5593
0.3307714807718115,5644
0.3384637884641192,5656
0.34615609615642684,5672
0.35384840384873456,5716
0.3615407115410423,5759
0.36923301923334995,5792
0.3769253269256576,5816
0.38461763461796533,5857
0.39230994231027305,5898
0.4000022500025807,5902
0.4076945576948884,5910
0.4153868653871961,5946
0.4230791730795038,5979
0.4307714807718115,5994
0.43846378846411915,5994
0.4461560961564269,5996
0.4538484038487346,6015
0.46154071154104226,6017
0.4692330192333499,6010
0.47692532692565764,6029
0.48461763461796536,6041
0.49230994231027303,6020
0.5000022500025807,6010
0.5076945576948884,6020
0.5153868653871961,6022
0.5230791730795038,6008
0.5307714807718115,5991
0.5384637884641192,5984
0.5461560961564269,5979
0.5538484038487346,5960
0.5391552079963731,5948
0.5468475156886807,5960
0.5545398233809884,5948
0.5622321310732962,5890
0.5699244387656038,5864
0.5776167464579115,5878
0.5853090541502193,5874
0.5930013618425269,5850
0.6006936695348346,5790
0.6083859772271423,5739
0.6160782849194499,5744
0.6237705926117577,5727
0.6314629003040654,5701
0.639155207996373,5720
0.6468475156886808,5699
0.6545398233809885,5624
0.6622321310732961,5588
0.6699244387656038,5572
0.6776167464579115,5524
0.6853090541502193,5488
0.6930013618425269,5471
0.7006936695348346,5449
0.7083859772271424,5409
0.71607828491945,5351
0.7237705926117577,5315
0.7314629003040654,5310
0.739155207996373,5275
0.7468475156886808,5203
0.7545398233809885,5114
0.7622321310732961,5064
0.7699244387656039,5306
0.7776167464579116,5962
0.7853090541502192,6609
0.7930013618425269,6844
0.8006936695348346,6382
0.8083859772271423,5186
0.81607828491945,4292
0.8237705926117577,4438
0.8314629003040654,4742
0.8391552079963731,4589
0.8468475156886808,4500
0.8545398233809884,4599
0.8622321310732961,4563
0.8699244387656039,4484
0.8776167464579115,4500
0.8853090541502192,4476
0.893001361842527,4397
0.9006936695348347,4381
0.9083859772271423,4395
0.91607828491945,4373
0.9237705926117576,4345
0.9314629003040654,4325
0.9391552079963731,4313
0.9468475156886808,4309
0.9545398233809885,4306
0.9622321310732962,4316
0.9699244387656039,4337
0.9776167464579115,4342
0.9853090541502192,4325
0.993001361842527,4299
1.0006936695348347,4261
1.0083859772271424,4194
1.01607828491945,4093
1.0237705926117577,3968
1.0314629003040654,3844
1.039155207996373,3726
1.0468475156886807,3618
1.0545398233809884,3525
1.062232131073296,3460
1.0699244387656037,3415
1.0776167464579116,3376
1.0853090541502193,3350
1.093001361842527,3331
1.1087140410090797,3314
1.1164063487013873,3273
1.124098656393695,3216
1.1317909640860027,3189
1.1394832717783103,3175
1.1471755794706182,3144
1.1548678871629259,3127
1.1625601948552335,3103
1.1702525025475412,3043
1.1779448102398489,2998
1.1856371179321565,2988
1.1933294256244642,2967
1.201021733316772,2931
1.2087140410090798,2902
1.2164063487013874,2873
1.224098656393695,2847
1.2317909640860027,2820
1.2394832717783104,2796
1.247175579470618,2770
1.2548678871629257,2736
1.2625601948552334,2696
1.2702525025475413,2667
1.277944810239849,2650
1.2856371179321566,2619
1.2933294256244643,2585
1.301021733316772,2550
1.3087140410090796,2502
1.3164063487013873,2468
1.3240986563936952,2451
1.3317909640860028,2425
1.3394832717783105,2396
1.3471755794706182,2372
1.3548678871629258,2341
1.3625601948552335,2312
1.3702525025475412,2291
1.3779448102398488,2262
1.3856371179321565,2240
1.3933294256244642,2221
1.401021733316772,2190
1.4087140410090797,2164
1.4164063487013874,2144
1.424098656393695,2118
1.4317909640860027,2082
1.4394832717783106,2041
1.4471755794706183,2005
1.454867887162926,1982
1.4625601948552336,1958
1.4702525025475413,1946
1.477944810239849,1950
1.4856371179321566,1943
1.4933294256244642,1919
1.501021733316772,1893
1.5087140410090796,1857
1.5164063487013872,1823
1.5240986563936951,1795
1.5317909640860028,1744
1.5394832717783105,1713
1.5471755794706181,1706
1.5548678871629258,1675
1.5625601948552337,1629
1.5702525025475413,1617
1.577944810239849,1605
1.5856371179321567,1565
1.5933294256244643,1533
1.601021733316772,1505
1.6087140410090797,1416
1.6164063487013873,1368
1.624098656393695,1687
1.6317909640860027,2399
1.6394832717783103,3041
1.6471755794706182,3209
1.6548678871629259,2631
1.6625601948552335,1437
1.649617290997412,690
1.6573095986897197,910
1.6650019063820274,1183
1.672694214074335,1052
1.6803865217666427,1004
1.6880788294589506,1095
1.6957711371512583,1076
1.703463444843566,1052
1.7111557525358736,1080
1.7188480602281813,1068
1.726540367920489,1044
1.7342326756127966,1066
1.7419249833051045,1076
1.7496172909974121,1064
1.7573095986897198,1078
1.7650019063820275,1107
1.7726942140743351,1124
1.7803865217666428,1133
1.7880788294589505,1155
1.7957711371512581,1195
1.8034634448435658,1236
1.8111557525358737,1260
1.8188480602281814,1282
1.826540367920489,1289
1.8342326756127967,1267
1.8419249833051043,1227
1.849617290997412,1162
1.8573095986897197,1066
1.8650019063820276,951
1.8726942140743352,850
1.880386521766643,774
1.8880788294589506,721
1.8957711371512582,687
1.9034634448435659,673
1.9111557525358736,668
1.9188480602281812,663
1.9265403679204889,654
1.9342326756127965,649
1.9419249833051044,651
1.949617290997412,656
1.9573095986897198,654
1.9650019063820274,649
1.972694214074335,649
1.980386521766643,649
1.9880788294589506,647
1.9957711371512583,642
2.003463444843566,637
2.0111557525358736,635
2.0188480602281813,623
2.026540367920489,599
2.0342326756127966,594
2.0419249833051043,601
2.049617290997412,591
2.0573095986897196,577
2.0650019063820273,575
2.0726942140743354,568
2.080386521766643,548
2.0880788294589507,548
2.0957711371512584,553
2.103463444843566,532
2.1111557525358737,500
2.1188480602281814,488
2.126540367920489,491
2.1342326756127967,479
2.1419249833051044,462
2.149617290997412,455
2.1573095986897197,452
2.1650019063820274,445
2.172694214074335,433
2.1803865217666427,428
2.1880788294589504,428
2.195771137151258,421
2.2034634448435657,412
2.2193556660058675,409
2.227047973698175,405
2.234740281390483,397
2.2424325890827905,397
2.250124896775098,393
2.257817204467406,373
2.2655095121597135,354
2.273201819852021,340
2.280894127544329,333
2.288586435236637,323
2.2962787429289446,309
2.3039710506212523,289
2.31166335831356,285
2.3193556660058676,289
2.3270479736981753,294
2.334740281390483,299
2.3424325890827906,306
2.3501248967750983,306
2.357817204467406,287
2.3655095121597136,268
2.3732018198520213,258
2.380894127544329,249
2.3885864352366366,237
2.3962787429289443,230
2.4039710506212524,222
2.41166335831356,222
2.4193556660058677,225
2.4270479736981754,225
2.434740281390483,227
2.4424325890827907,225
2.4501248967750984,201
2.457817204467406,136
2.4655095121597137,127
2.4732018198520214,472
2.480894127544329,1193
2.4885864352366367,1821
2.4962787429289444,1982
2.503971050621252,1416
2.5116633583135597,244
2.5193556660058674,-457
2.527047973698175,-198
2.5347402813904827,91
2.542432589082791,-21
2.5501248967750985,-57
2.557817204467406,45
2.565509512159714,52
2.5732018198520215,40
2.580894127544329,76
2.588586435236637,95
2.5962787429289444,98
2.603971050621252,115
2.61166335831356,136
2.6193556660058674,134
2.627047973698175,134
2.6347402813904828,167
